,LOAN_NUMBER,LOAN_ORIG_DATE,LENDER_INST_TYPE_DESCRIPTION,LTV,FICO_SCORE,CURRENT_BALANCE,Loan_to_Value_Cohorts,FICO_Score_Category,LOAN_AGE,Loan_Age_Cohorts
493,17611159,2010-07-26,Community Banks,95.0,738,71250,>90% and <= 95%,700 - 799,29.40512125505657,20-29 Months
494,25463196,2011-10-19,Mortgage Banker - Bank Owned,95.0,738,118750,>90% and <= 95%,700 - 799,14.62042341731863,10-19 Months
495,24094875,2010-08-25,Community Banks,95.0,738,204250,>90% and <= 95%,700 - 799,28.41947473254071,20-29 Months
496,27560201,2011-02-17,Mortgage Banker - Bank Owned,95.0,738,218500,>90% and <= 95%,700 - 799,22.63701513378098,20-29 Months
497,25435206,2011-12-02,Mortgage Banker - (Large),95.0,738,228532,>90% and <= 95%,700 - 799,13.1748085176287,10-19 Months
498,28931445,2012-01-13,Bank Owned Mortgage Company - National,95.0,738,284905,>90% and <= 95%,700 - 799,11.79490338610649,10-19 Months
499,31229083,2011-06-02,Mortgage Banker - (Large),95.0,738,384750,>90% and <= 95%,700 - 799,19.187252304975463,10-19 Months
500,23635971,2012-08-21,Mortgage Banker - Bank Owned,82.25,739,335600,<=85%,700 - 799,4.533974003572968,0-9 Months
501,23030565,2012-01-19,Mortgage Banker - Bank Owned,87.9700012207031,739,325500,>85% and <= 90%,700 - 799,11.597774081603319,10-19 Months
502,20227188,2010-09-01,Community Banks,90.0,739,116000,>85% and <= 90%,700 - 799,28.189490543953674,20-29 Months
503,23943401,2012-10-17,Mortgage Banker - Bank Owned,95.0,739,97850,>90% and <= 95%,700 - 799,2.6612456107928293,0-9 Months
504,19645076,2012-09-10,Mortgage Banker - (Large),86.1999969482422,740,431000,>85% and <= 90%,700 - 799,3.8768763218957267,0-9 Months
505,32977978,2012-04-16,Community Banks,87.5,740,103250,>85% and <= 90%,700 - 799,8.706544282223454,0-9 Months
506,31919084,2012-10-23,Mortgage Banker - Bank Owned,89.2399978637695,740,170000,>85% and <= 90%,700 - 799,2.464116306289657,0-9 Months
507,21934354,2011-07-22,Mortgage Banker - (Large),89.2900009155273,740,250000,>85% and <= 90%,700 - 799,17.544508100782355,10-19 Months
508,17960506,2012-06-27,Mortgage Banker - Bank Owned,90.0,740,74275,>85% and <= 90%,700 - 799,6.340992628185384,0-9 Months
509,34266756,2010-12-29,Community Banks,90.0,740,247500,>85% and <= 90%,700 - 799,24.279759337974085,20-29 Months
510,21450704,2010-12-30,Mortgage Banker - Bank Owned,90.0,740,261000,>85% and <= 90%,700 - 799,24.246904453890224,20-29 Months
511,27887455,2012-10-26,Mortgage Banker - Bank Owned,90.8499984741211,740,133550,>90% and <= 95%,700 - 799,2.3655516540380708,0-9 Months
512,22163158,2012-01-09,Community Banks,93.4899978637695,740,388000,>90% and <= 95%,700 - 799,11.926322922441939,10-19 Months
513,26889744,2011-12-12,Credit Unions,94.9599990844727,740,128200,>90% and <= 95%,700 - 799,12.846259676790078,10-19 Months
514,33540544,2010-02-03,Credit Unions,95.0,740,186200,>90% and <= 95%,700 - 799,35.08901620156471,30-39 Months
515,23391382,2009-12-11,Bank Owned Mortgage Company - National,83.6600036621094,741,107000,<=85%,700 - 799,36.86317994209327,30-39 Months
516,20179821,,Mortgage Banker - (Large),85.0,741,298350,<=85%,700 - 799,,Unknown
517,22017619,2011-04-15,Mortgage Banker - (Large),87.0699996948242,741,264500,>85% and <= 90%,700 - 799,20.76428674100084,20-29 Months
518,32460555,2011-06-02,Mortgage Banker - (Large),87.5800018310547,741,135750,>85% and <= 90%,700 - 799,19.187252304975463,10-19 Months
519,25759806,2012-03-21,Mortgage Banker - Bank Owned,88.0999984741211,741,625500,>85% and <= 90%,700 - 799,9.560771268403869,0-9 Months
520,31768258,2010-12-16,Community Banks,88.3199996948242,741,54760,>85% and <= 90%,700 - 799,24.70687283106429,20-29 Months
521,30701805,2011-02-01,Mortgage Banker - Bank Owned,90.0,741,558000,>85% and <= 90%,700 - 799,23.162693279122774,20-29 Months
522,24398184,2011-03-03,Community Banks,95.0,741,100700,>90% and <= 95%,700 - 799,22.177046756606913,20-29 Months
523,23473772,2011-06-29,Mortgage Banker - Bank Owned,95.0,741,106400,>90% and <= 95%,700 - 799,18.300170434711184,10-19 Months
524,18871395,2012-08-31,Mortgage Banker - Bank Owned,95.0,741,112100,>90% and <= 95%,700 - 799,4.205425162734348,0-9 Months
525,29858312,2012-06-11,Mortgage Banker - Bank Owned,95.0,741,190000,>90% and <= 95%,700 - 799,6.8666707735271775,0-9 Months
526,15983124,2012-08-31,Bank Owned Mortgage Company - National,95.0,741,256500,>90% and <= 95%,700 - 799,4.205425162734348,0-9 Months
527,19831983,2012-05-01,Mortgage Banker - Bank Owned,95.0,741,273600,>90% and <= 95%,700 - 799,8.213721020965522,0-9 Months
528,33337531,2011-10-21,Community Banks,95.0,741,304000,>90% and <= 95%,700 - 799,14.554713649150907,10-19 Months
529,26021422,2012-04-16,Mortgage Banker - Bank Owned,95.0,741,342000,>90% and <= 95%,700 - 799,8.706544282223454,0-9 Months
530,20772514,2012-01-20,Credit Unions,96.2600021362305,741,103000,>95%,700 - 799,11.564919197519457,10-19 Months
531,16572986,2012-05-18,Credit Unions,97.0,741,230860,>95%,700 - 799,7.655187991539868,0-9 Months
532,25340698,2012-05-15,Mortgage Banker - Bank Owned,84.620002746582,742,165000,<=85%,700 - 799,7.7537526437914535,0-9 Months
533,21884558,2011-10-06,Mortgage Banker - Bank Owned,90.0,742,175050,>85% and <= 90%,700 - 799,15.047536910408837,10-19 Months
534,21626376,2011-11-02,Community Banks,90.0,742,228600,>85% and <= 90%,700 - 799,14.160455040144562,10-19 Months
535,33534986,2012-09-01,Mortgage Banker - Bank Owned,90.0,742,391491,>85% and <= 90%,700 - 799,4.172570278650485,0-9 Months
536,26827923,2010-03-04,Credit Unions,94.120002746582,742,160000,>90% and <= 95%,700 - 799,34.136224563132714,30-39 Months
537,22248816,2012-11-01,Community Banks,94.870002746582,742,296000,>90% and <= 95%,700 - 799,2.168422349534898,0-9 Months
538,15290594,2010-12-04,Credit Unions,94.9199981689453,742,168000,>90% and <= 95%,700 - 799,25.10113144007064,20-29 Months
539,16378830,2012-07-27,Mortgage Banker - (Large),95.0,742,139650,>90% and <= 95%,700 - 799,5.355346105669521,0-9 Months
540,20438229,2012-04-27,Mortgage Banker - Bank Owned,95.0,742,158650,>90% and <= 95%,700 - 799,8.34514055730097,0-9 Months
541,21631504,2011-02-11,Credit Unions,85.0,743,133450,<=85%,700 - 799,22.834144438284152,20-29 Months
542,27120783,2010-06-29,Mortgage Banker - Bank Owned,87.5100021362305,743,417000,>85% and <= 90%,700 - 799,30.29220312532085,30-39 Months
543,31762375,2012-09-11,Mortgage Banker - Bank Owned,88.5299987792969,743,166000,>85% and <= 90%,700 - 799,3.8440214378118647,0-9 Months
544,24441091,2010-06-24,Community Banks,89.6100006103516,743,80650,>85% and <= 90%,700 - 799,30.45647754574016,30-39 Months
545,21964245,2009-12-01,Mortgage Banker - Bank Owned,90.0,743,148500,>85% and <= 90%,700 - 799,37.19172878293189,30-39 Months
546,31371190,2012-07-18,Bank Owned Mortgage Company - National,90.0,743,197010,>85% and <= 90%,700 - 799,5.65104006242428,0-9 Months
547,25457200,2012-12-14,Mortgage Banker - Bank Owned,92.2699966430664,743,207600,>90% and <= 95%,700 - 799,0.7556623339288281,0-9 Months
548,28047831,2011-09-02,Community Banks,92.370002746582,743,218000,>90% and <= 95%,700 - 799,16.164602969260148,10-19 Months
549,25466490,2010-08-11,Community Banks,94.4400024414063,743,399000,>90% and <= 95%,700 - 799,28.879443109714778,20-29 Months
550,29796005,2010-07-01,Credit Unions,95.0,743,44365,>90% and <= 95%,700 - 799,30.226493357153124,30-39 Months
551,30601363,2012-04-30,Bank Owned Mortgage Company - National,95.0,743,115900,>90% and <= 95%,700 - 799,8.246575905049385,0-9 Months
552,29426986,2011-10-04,Community Banks,95.0,743,228000,>90% and <= 95%,700 - 799,15.113246678576562,10-19 Months
553,24695065,2011-02-01,Credit Unions,95.0,743,237500,>90% and <= 95%,700 - 799,23.162693279122774,20-29 Months
554,21237689,2012-09-05,Mortgage Banker - Bank Owned,95.0,743,370500,>90% and <= 95%,700 - 799,4.041150742315037,0-9 Months
555,29849765,2011-12-06,Community Banks,82.7900009155273,744,355990,<=85%,700 - 799,13.04338898129325,10-19 Months
556,24728815,2012-11-28,Community Banks,85.0,744,225383,<=85%,700 - 799,1.2813404792706216,0-9 Months
557,32093121,2011-12-23,Mortgage Banker - (Large),85.0,744,276250,<=85%,700 - 799,12.484855951867594,10-19 Months
558,22209088,2012-03-16,Bank Owned Mortgage Company - National,88.9400024414063,744,280150,>85% and <= 90%,700 - 799,9.72504568882318,0-9 Months
559,31501234,2011-02-04,Community Banks,89.5199966430664,744,75200,>85% and <= 90%,700 - 799,23.064128626871188,20-29 Months
560,19706997,2011-04-15,Mortgage Banker - Bank Owned,90.0,744,65250,>85% and <= 90%,700 - 799,20.76428674100084,20-29 Months
561,25144837,2009-06-25,Community Banks,90.0,744,75150,>85% and <= 90%,700 - 799,42.41565535226596,>=40 Months
562,18488339,2012-03-30,Mortgage Banker - Bank Owned,90.0,744,216000,>85% and <= 90%,700 - 799,9.26507731164911,0-9 Months
563,20828510,2010-03-16,Community Banks,90.0,744,261000,>85% and <= 90%,700 - 799,33.74196595412637,30-39 Months
564,19986214,2011-03-25,Mortgage Banker - Bank Owned,90.0,744,270000,>85% and <= 90%,700 - 799,21.454239306761945,20-29 Months
565,21021472,2012-06-06,Mortgage Banker - Bank Owned,90.0,744,273600,>85% and <= 90%,700 - 799,7.030945193946487,0-9 Months
566,16123865,2012-01-26,Bank Owned Mortgage Company - National,92.0899963378906,744,198000,>90% and <= 95%,700 - 799,11.367789893016283,10-19 Months
567,34327167,2010-03-03,Credit Unions,94.9300003051758,744,71200,>90% and <= 95%,700 - 799,34.169079447216575,30-39 Months
568,33578061,2010-06-30,Mortgage Banker - (Large),95.0,744,64600,>90% and <= 95%,700 - 799,30.259348241236985,30-39 Months
569,21436483,2011-06-08,Mortgage Banker - Bank Owned,95.0,744,110675,>90% and <= 95%,700 - 799,18.990123000472288,10-19 Months
570,15173979,2010-03-26,Mortgage Banker - Bank Owned,95.0,744,115900,>90% and <= 95%,700 - 799,33.41341711328775,30-39 Months
571,24284073,2010-07-21,Credit Unions,95.0,744,190000,>90% and <= 95%,700 - 799,29.56939567547588,20-29 Months
572,24328558,2012-12-10,Mortgage Banker - Bank Owned,95.0,744,281200,>90% and <= 95%,700 - 799,0.8870818702642764,0-9 Months
573,31635477,2012-11-14,Mortgage Banker - Bank Owned,96.8499984741211,744,156900,>95%,700 - 799,1.7413088564446908,0-9 Months
574,26296118,2012-08-22,Mortgage Banker - Bank Owned,97.0,744,368600,>95%,700 - 799,4.501119119489107,0-9 Months
575,17617007,2012-12-13,Mortgage Banker - Bank Owned,84.2900009155273,745,237888,<=85%,700 - 799,0.7885172180126901,0-9 Months
576,32196566,2011-08-17,Mortgage Banker - (Large),84.9599990844727,745,209000,<=85%,700 - 799,16.69028111460194,10-19 Months
577,28938932,2010-08-20,Credit Unions,86.1399993896484,745,261000,>85% and <= 90%,700 - 799,28.58374915296002,20-29 Months
578,33585130,2011-12-22,Bank Owned Mortgage Company - National,90.0,745,94950,>85% and <= 90%,700 - 799,12.517710835951457,10-19 Months
579,18301766,2011-02-01,Mortgage Banker - Bank Owned,90.0,745,135000,>85% and <= 90%,700 - 799,23.162693279122774,20-29 Months
580,22085453,2012-10-10,Mortgage Banker - Bank Owned,90.0,745,148500,>85% and <= 90%,700 - 799,2.891229799379864,0-9 Months
581,18681250,2011-05-06,Credit Unions,90.0,745,240750,>85% and <= 90%,700 - 799,20.074334175239738,20-29 Months
582,27133596,2011-02-02,Mortgage Banker - Bank Owned,90.0,745,263250,>85% and <= 90%,700 - 799,23.129838395038913,20-29 Months
583,24736619,2012-02-10,Credit Unions,91.4700012207031,745,311000,>90% and <= 95%,700 - 799,10.874966631758353,10-19 Months
584,27617160,2011-03-01,Community Banks,94.5800018310547,745,260100,>90% and <= 95%,700 - 799,22.242756524774634,20-29 Months
585,29020077,2011-11-04,Mortgage Banker - (Large),94.9599990844727,745,265903,>90% and <= 95%,700 - 799,14.094745271976837,10-19 Months
586,28563874,2011-04-27,Credit Unions,95.0,745,73958,>90% and <= 95%,700 - 799,20.3700281319945,20-29 Months
587,25407032,2010-01-26,Mortgage Banker - Bank Owned,95.0,745,76000,>90% and <= 95%,700 - 799,35.35185527423561,30-39 Months
588,15417456,2012-11-30,Community Banks,95.0,745,153425,>90% and <= 95%,700 - 799,1.2156307111028974,0-9 Months
589,30482160,2012-07-27,Mortgage Banker - Bank Owned,95.0,745,208050,>90% and <= 95%,700 - 799,5.355346105669521,0-9 Months
590,22847263,2010-08-30,Mortgage Banker - (Large),95.0,745,304647,>90% and <= 95%,700 - 799,28.2552003121214,20-29 Months
591,19445540,2010-12-13,Community Banks,89.7399978637695,746,175000,>85% and <= 90%,700 - 799,24.805437483315878,20-29 Months
592,17606943,2012-06-01,Mortgage Banker - Bank Owned,90.0,746,97200,>85% and <= 90%,700 - 799,7.195219614365798,0-9 Months
593,20552513,2011-01-10,Mortgage Banker - Bank Owned,90.0,746,101250,>85% and <= 90%,700 - 799,23.88550072896774,20-29 Months
594,23590395,2012-03-02,Bank Owned Mortgage Company - National,90.0,746,108900,>85% and <= 90%,700 - 799,10.18501406599725,10-19 Months
595,18896152,2012-08-10,Community Banks,90.0,746,171000,>85% and <= 90%,700 - 799,4.895377728495451,0-9 Months
596,33535359,2011-01-14,Community Banks,90.0,746,297000,>85% and <= 90%,700 - 799,23.75408119263229,20-29 Months
597,20071116,2012-03-28,Community Banks,92.6800003051758,746,342000,>90% and <= 95%,700 - 799,9.330787079816835,0-9 Months
598,25208529,2012-10-12,Mortgage Banker - Bank Owned,93.2600021362305,746,345060,>90% and <= 95%,700 - 799,2.82552003121214,0-9 Months
599,34062016,2007-10-23,Bank Owned Mortgage Company - National,94.0699996948242,746,181500,>90% and <= 95%,700 - 799,62.4899895275057,>=40 Months
600,24940419,2012-09-04,Credit Unions,95.0,746,147250,>90% and <= 95%,700 - 799,4.0740056263988995,0-9 Months
601,22517987,2012-12-10,Mortgage Banker - Bank Owned,95.0,746,150100,>90% and <= 95%,700 - 799,0.8870818702642764,0-9 Months
602,30214185,2012-09-07,Mortgage Banker - Bank Owned,95.0,746,195700,>90% and <= 95%,700 - 799,3.975440974147313,0-9 Months
603,25284193,2012-10-30,Mortgage Banker - Bank Owned,83.0100021362305,747,303000,<=85%,700 - 799,2.234132117702622,0-9 Months
604,30580792,2012-01-05,Mortgage Banker - (Large),85.5899963378906,747,398000,>85% and <= 90%,700 - 799,12.057742458777387,10-19 Months
605,26954725,2011-01-08,Community Banks,86.4300003051758,747,80380,>85% and <= 90%,700 - 799,23.951210497135463,20-29 Months
606,32415230,2012-02-08,Mortgage Banker - (Large),87.7900009155273,747,417000,>85% and <= 90%,700 - 799,10.940676399926076,10-19 Months
607,18287091,2011-03-10,Community Banks,88.2399978637695,747,150000,>85% and <= 90%,700 - 799,21.947062568019877,20-29 Months
608,23545236,2012-06-01,Community Banks,88.2399978637695,747,150000,>85% and <= 90%,700 - 799,7.195219614365798,0-9 Months
609,21322100,2012-04-30,Community Banks,90.0,747,218250,>85% and <= 90%,700 - 799,8.246575905049385,0-9 Months
610,21183181,2009-05-01,Mortgage Banker - (Large),91.4700012207031,747,417000,>90% and <= 95%,700 - 799,44.222673976878376,>=40 Months
611,25799738,2011-06-08,Credit Unions,93.5500030517578,747,72500,>90% and <= 95%,700 - 799,18.990123000472288,10-19 Months
612,26337464,2010-05-06,Community Banks,95.0,747,41705,>90% and <= 95%,700 - 799,32.0663668658494,30-39 Months
613,16146158,2011-12-15,Bank Owned Mortgage Company - National,95.0,747,66737,>90% and <= 95%,700 - 799,12.747695024538492,10-19 Months
614,15028992,2010-01-04,Credit Unions,95.0,747,109250,>90% and <= 95%,700 - 799,36.074662724080575,30-39 Months
615,18121228,2012-12-27,Mortgage Banker - Bank Owned,95.0,747,180500,>90% and <= 95%,700 - 799,0.3285488408386209,0-9 Months
616,33974968,2012-01-05,Bank Owned Mortgage Company - National,95.0,747,211850,>90% and <= 95%,700 - 799,12.057742458777387,10-19 Months
617,15114474,2011-09-28,Bank Owned Mortgage Company - National,95.0,747,304000,>90% and <= 95%,700 - 799,15.310375983079735,10-19 Months
618,15330987,2012-08-01,Credit Unions,97.0,747,312825,>95%,700 - 799,5.19107168525021,0-9 Months
619,30703193,2010-08-02,Community Banks,85.0,748,148750,<=85%,700 - 799,29.17513706646954,20-29 Months
620,27453404,2010-09-17,Bank Owned Mortgage Company - National,88.9199981689453,748,289000,>85% and <= 90%,700 - 799,27.66381239861188,20-29 Months
621,26400870,2011-07-01,Mortgage Banker - (Large),90.0,748,94500,>85% and <= 90%,700 - 799,18.234460666543463,10-19 Months
622,29837059,2011-11-22,Mortgage Banker - Bank Owned,90.0,748,121500,>85% and <= 90%,700 - 799,13.50335735846732,10-19 Months
623,24973295,2011-10-14,Mortgage Banker - (Large),90.0,748,145800,>85% and <= 90%,700 - 799,14.78469783773794,10-19 Months
624,16005447,2011-01-21,Credit Unions,90.0,748,199215,>85% and <= 90%,700 - 799,23.524097004045256,20-29 Months
625,21321914,2011-04-15,Mortgage Banker - (Large),90.0,748,204750,>85% and <= 90%,700 - 799,20.76428674100084,20-29 Months
626,17758220,2012-07-03,Mortgage Banker - Bank Owned,90.0,748,220500,>85% and <= 90%,700 - 799,6.143863323682211,0-9 Months
627,33057756,2012-10-24,Mortgage Banker - Bank Owned,90.0,748,427500,>85% and <= 90%,700 - 799,2.431261422205795,0-9 Months
628,30593139,2012-05-17,Mortgage Banker - Bank Owned,91.8399963378906,748,225000,>90% and <= 95%,700 - 799,7.688042875623729,0-9 Months
629,25168040,2010-08-10,Community Banks,92.7900009155273,748,440752,>90% and <= 95%,700 - 799,28.912297993798642,20-29 Months
630,29911924,2012-02-03,Community Banks,92.9199981689453,748,223000,>90% and <= 95%,700 - 799,11.104950820345387,10-19 Months
631,22851837,2012-12-14,Mortgage Banker - Bank Owned,93.6999969482422,748,223000,>90% and <= 95%,700 - 799,0.7556623339288281,0-9 Months
632,18595451,2012-07-24,Mortgage Banker - Bank Owned,95.0,748,175750,>90% and <= 95%,700 - 799,5.453910757921107,0-9 Months
633,23277549,2012-03-13,Community Banks,95.0,748,235125,>90% and <= 95%,700 - 799,9.823610341074765,0-9 Months
634,18216968,2012-06-01,Credit Unions,84.9800033569336,749,56000,<=85%,700 - 799,7.195219614365798,0-9 Months
635,27124993,2012-08-22,Mortgage Banker - Bank Owned,86.5800018310547,749,158000,>85% and <= 90%,700 - 799,4.501119119489107,0-9 Months
636,25406118,2010-12-02,Community Banks,88.9300003051758,749,203700,>85% and <= 90%,700 - 799,25.166841208238363,20-29 Months
637,17020633,2011-02-11,Community Banks,89.0,749,115700,>85% and <= 90%,700 - 799,22.834144438284152,20-29 Months
638,32889073,2012-02-27,Mortgage Banker - (Large),90.0,749,258300,>85% and <= 90%,700 - 799,10.316433602332697,10-19 Months
639,29641540,2012-06-26,Community Banks,90.0,749,270000,>85% and <= 90%,700 - 799,6.373847512269246,0-9 Months
640,22995579,2010-09-15,Bank Owned Mortgage Company - National,92.0100021362305,749,417000,>90% and <= 95%,700 - 799,27.729522166779606,20-29 Months
641,29652342,2012-11-06,Mortgage Banker - Bank Owned,92.1100006103516,749,105000,>90% and <= 95%,700 - 799,2.0041479291155877,0-9 Months
642,18292515,2010-06-24,Credit Unions,94.9400024414063,749,141700,>90% and <= 95%,700 - 799,30.45647754574016,30-39 Months
643,18625773,2012-12-14,Mortgage Banker - Bank Owned,94.9800033569336,749,248700,>90% and <= 95%,700 - 799,0.7556623339288281,0-9 Months
644,27310858,2012-12-05,Mortgage Banker - Bank Owned,95.0,749,270750,>90% and <= 95%,700 - 799,1.051356290683587,0-9 Months
645,24346721,2011-12-07,Credit Unions,81.3899993896484,750,274300,<=85%,700 - 799,13.010534097209389,10-19 Months
646,33818087,2012-06-22,Mortgage Banker - Bank Owned,85.0,750,235450,<=85%,700 - 799,6.505267048604694,0-9 Months
647,21349734,2012-02-13,Mortgage Banker - (Large),87.7900009155273,750,338000,>85% and <= 90%,700 - 799,10.776401979506765,10-19 Months
648,20726508,2011-12-23,Community Banks,88.1100006103516,750,165233,>85% and <= 90%,700 - 799,12.484855951867594,10-19 Months
649,29182070,2012-10-23,Community Banks,88.3300018310547,750,251730,>85% and <= 90%,700 - 799,2.464116306289657,0-9 Months
650,23822943,2012-10-28,Community Banks,89.9700012207031,750,356000,>85% and <= 90%,700 - 799,2.299841885870346,0-9 Months
651,23697121,2010-12-17,Community Banks,89.9899978637695,750,161982,>85% and <= 90%,700 - 799,24.67401794698043,20-29 Months
652,17583224,2011-06-07,Credit Unions,90.0,750,117000,>85% and <= 90%,700 - 799,19.022977884556152,10-19 Months
653,27238919,2009-12-07,Bank Owned Mortgage Company - National,90.0,750,195300,>85% and <= 90%,700 - 799,36.99459947842872,30-39 Months
654,30141944,2010-06-14,Mortgage Banker - (Large),90.0,750,382500,>85% and <= 90%,700 - 799,30.785026386578778,30-39 Months
655,15280754,2011-10-14,Credit Unions,91.4800033569336,750,172900,>90% and <= 95%,700 - 799,14.78469783773794,10-19 Months
656,18084294,2012-10-05,Credit Unions,92.7300033569336,750,255000,>90% and <= 95%,700 - 799,3.0555042197991744,0-9 Months
657,22837050,2012-04-20,Mortgage Banker - (Large),94.9899978637695,750,250300,>90% and <= 95%,700 - 799,8.575124745888006,0-9 Months
658,23573262,2010-06-25,Community Banks,95.0,750,122550,>90% and <= 95%,700 - 799,30.423622661656296,30-39 Months
659,18673422,2009-05-06,Mortgage Banker - Bank Owned,95.0,750,189900,>90% and <= 95%,700 - 799,44.058399556459065,>=40 Months
660,20717121,2010-08-23,Mortgage Banker - Bank Owned,95.0,750,366700,>90% and <= 95%,700 - 799,28.485184500708435,20-29 Months
661,18805373,2012-08-29,Mortgage Banker - Bank Owned,97.0,750,339500,>95%,700 - 799,4.271134930902072,0-9 Months
662,21056313,2012-04-20,Credit Unions,81.8399963378906,751,146500,<=85%,700 - 799,8.575124745888006,0-9 Months
663,19244428,2011-11-09,Credit Unions,84.3899993896484,751,173000,<=85%,700 - 799,13.930470851557526,10-19 Months
664,18990909,2012-07-20,Credit Unions,85.0,751,108800,<=85%,700 - 799,5.585330294256556,0-9 Months
665,29225750,2011-11-08,Mortgage Banker - Bank Owned,86.5800018310547,751,96100,>85% and <= 90%,700 - 799,13.963325735641389,10-19 Months
666,28852673,2010-01-27,Mortgage Banker - Bank Owned,89.1699981689453,751,214000,>85% and <= 90%,700 - 799,35.31900039015175,30-39 Months
667,24608955,2012-07-19,Mortgage Banker - Bank Owned,90.0,751,225000,>85% and <= 90%,700 - 799,5.6181851783404175,0-9 Months
668,34317924,2011-05-12,Mortgage Banker - (Large),90.0,751,242100,>85% and <= 90%,700 - 799,19.877204870736566,10-19 Months
669,26264528,2011-05-31,Mortgage Banker - (Large),90.0,751,242820,>85% and <= 90%,700 - 799,19.252962073143184,10-19 Months
670,27958209,2012-08-08,Mortgage Banker - (Large),91.1699981689453,751,125721,>90% and <= 95%,700 - 799,4.9610874966631755,0-9 Months
671,30348921,2012-01-06,Mortgage Banker - (Large),94.3000030517578,751,273000,>90% and <= 95%,700 - 799,12.024887574693526,10-19 Months
672,33097155,2011-10-21,Mortgage Banker - (Large),94.5500030517578,751,416000,>90% and <= 95%,700 - 799,14.554713649150907,10-19 Months
673,28739378,2012-05-03,Mortgage Banker - Bank Owned,94.620002746582,751,417000,>90% and <= 95%,700 - 799,8.148011252797799,0-9 Months
674,23592718,2012-04-18,Community Banks,94.9700012207031,751,107600,>90% and <= 95%,700 - 799,8.64083451405573,0-9 Months
675,18018573,2011-11-03,Mortgage Banker - Bank Owned,95.0,751,37525,>90% and <= 95%,700 - 799,14.1276001560607,10-19 Months
676,31333764,2009-10-01,Community Banks,95.0,751,61750,>90% and <= 95%,700 - 799,39.19587671204747,30-39 Months
677,25897722,2011-05-09,Mortgage Banker - Bank Owned,95.0,751,71250,>90% and <= 95%,700 - 799,19.975769522988152,10-19 Months
678,17722979,2011-12-16,Mortgage Banker - Bank Owned,95.0,751,109250,>90% and <= 95%,700 - 799,12.71484014045463,10-19 Months
679,26579081,2012-03-28,Mortgage Banker - Bank Owned,95.0,751,119225,>90% and <= 95%,700 - 799,9.330787079816835,0-9 Months
680,15490290,2011-12-22,Community Banks,95.0,751,261250,>90% and <= 95%,700 - 799,12.517710835951457,10-19 Months
681,18886760,2012-11-14,Mortgage Banker - Bank Owned,95.0,751,285665,>90% and <= 95%,700 - 799,1.7413088564446908,0-9 Months
682,23918689,2012-08-09,Mortgage Banker - Bank Owned,95.0,751,360050,>90% and <= 95%,700 - 799,4.928232612579314,0-9 Months
683,31845812,2010-12-03,Bank Owned Mortgage Company - National,95.0,751,409450,>90% and <= 95%,700 - 799,25.1339863241545,20-29 Months
684,28558517,2009-11-30,Credit Unions,82.2600021362305,752,193300,<=85%,700 - 799,37.22458366701575,30-39 Months
685,28698565,2011-01-31,Credit Unions,85.0,752,138550,<=85%,700 - 799,23.195548163206638,20-29 Months
686,22400665,2011-04-29,Bank Owned Mortgage Company - National,85.0,752,308550,<=85%,700 - 799,20.304318363826773,20-29 Months
687,25964008,2009-06-11,Mortgage Banker - Bank Owned,90.0,752,78300,>85% and <= 90%,700 - 799,42.87562372944003,>=40 Months
688,34203958,2012-07-19,Mortgage Banker - Bank Owned,90.0,752,270000,>85% and <= 90%,700 - 799,5.6181851783404175,0-9 Months
689,15717986,2012-06-18,Mortgage Banker - (Large),91.5599975585938,752,175800,>90% and <= 95%,700 - 799,6.636686584940143,0-9 Months
690,25944375,2012-10-24,Mortgage Banker - (Large),91.9499969482422,752,342500,>90% and <= 95%,700 - 799,2.431261422205795,0-9 Months
691,33521512,2011-10-06,Community Banks,94.9499969482422,752,94000,>90% and <= 95%,700 - 799,15.047536910408837,10-19 Months
692,18117538,2011-06-24,Mortgage Banker - Bank Owned,94.9800033569336,752,301500,>90% and <= 95%,700 - 799,18.464444855130495,10-19 Months
693,24267397,2011-03-04,Community Banks,95.0,752,33250,>90% and <= 95%,700 - 799,22.14419187252305,20-29 Months
694,21369754,2012-09-05,Bank Owned Mortgage Company - National,95.0,752,170050,>90% and <= 95%,700 - 799,4.041150742315037,0-9 Months
695,15381055,2011-06-09,Bank Owned Mortgage Company - National,95.0,752,261250,>90% and <= 95%,700 - 799,18.957268116388427,10-19 Months
696,25624091,2011-11-04,Mortgage Banker - Bank Owned,95.0,752,399000,>90% and <= 95%,700 - 799,14.094745271976837,10-19 Months
697,28032092,2012-11-30,Credit Unions,95.0,752,408500,>90% and <= 95%,700 - 799,1.2156307111028974,0-9 Months
698,30931838,2012-01-31,Bank Owned Mortgage Company - National,85.0,753,202300,<=85%,700 - 799,11.203515472596973,10-19 Months
699,34330360,2011-12-27,Community Banks,85.0,753,374000,<=85%,700 - 799,12.353436415532146,10-19 Months
700,21196453,2010-03-09,Community Banks,85.8300018310547,753,190000,>85% and <= 90%,700 - 799,33.9719501427134,30-39 Months
701,16728416,2010-12-16,Mortgage Banker - (Large),88.0,753,416850,>85% and <= 90%,700 - 799,24.70687283106429,20-29 Months
702,34223262,2011-12-20,Mortgage Banker - Bank Owned,89.5699996948242,753,412000,>85% and <= 90%,700 - 799,12.583420604119182,10-19 Months
703,30230914,2012-06-04,Community Banks,90.0,753,153000,>85% and <= 90%,700 - 799,7.096654962114211,0-9 Months
